RAOB/CSV,Ballon Launch 08_14_2017,,,,,,,,,,
INFO:1,,,,,,,,,,,
INFO:2,,,,,,,,,,,
DTG,2017-08-14 13:00:00,,,,,,,,,,
LAT,50.3,S,,,,,,,,,
LON,72.8,W,,,,,,,,,
ELEV,5,M,,,,,,,,,
WMO,,,,,,,,,,,
TEMPERATURE,C,,,,,,,,,,
MOISTURE,RH,,,,,,,,,,
WIND,kts,,,,,,,,,,
GPM,MSL,,,,,,,,,,
MISSING,-999,,,,,,,,,,
SORT,YES,,,,,,,,,,
OZONE,mPa,,,,,,,,,,
RAOB/DATA,,,,,,,,,,,
PRES,TEMP,RH,WIND,SPEED,GPM,OZONE,OMEGA,CFRL,VapDen,LiqWat,WSPEED
122.27,-55.51,,236.3715151,59.16593437,14450,,,,,,
121.47,-55.78,,237.8441299,54.92772024,14490,,,,,,
120.75,-55.75,,236.2165442,56.72014389,14527,,,,,,
120.13,-55.27,,236.8437042,56.44528348,14564,,,,,,
119.5,-55.14,,235.7335182,53.83799792,14598,,,,,,
118.83,-55.22,,235.3301381,56.43081371,14631,,,,,,
118.3,-54.98,,235.0273188,58.18285197,14660,,,,,,
117.71,-55.06,,234.5473084,55.93841866,14689,,,,,,
117.23,-55.04,,235.4737088,55.04051161,14719,,,,,,
116.74,-54.78,,238.3917267,58.61064484,14746,,,,,,
116.18,-54.61,,238.5524888,60.61172143,14775,,,,,,
115.66,-54.38,,240.7832032,58.51500363,14801,,,,,,
115.22,-54.27,,240.3671725,60.46683635,14828,,,,,,
114.68,-54.01,,241.1010716,62.35215427,14858,,,,,,
114.16,-53.79,,239.3393299,60.36135407,14889,,,,,,
113.64,-53.79,,239.196639,59.35289059,14923,,,,,,
112.98,-53.6,,240.4167872,62.52073564,14959,,,,,,
112.32,-53.73,,239.2621268,61.53028753,14996,,,,,,
111.65,-53.87,,240.2396146,58.71404285,15036,,,,,,
110.89,-54.04,,241.6120499,60.11741256,15078,,,,,,
110.2,-54.31,,243.4971572,63.8498462,15123,,,,,,
109.34,-54.6,,243.6633011,59.37240758,15170,,,,,,
108.55,-54.86,,243.989523,60.25905422,15217,,,,,,
107.66,-55.29,,244.830196,64.30541799,15268,,,,,,
106.9,-55.43,,244.2519588,62.36501124,15316,,,,,,
105.98,-55.57,,245.0273879,65.49271802,15371,,,,,,
105.05,-55.8,,242.1909754,69.15191748,15425,,,,,,
104.14,-56.02,,242.020559,69.499155,15480,,,,,,
103.21,-56.43,,240.7574045,70.23150976,15539,,,,,,
102.26,-56.57,,237.8728688,71.36505893,15597,,,,,,
101.36,-57.06,,241.4842002,72.40333141,15652,,,,,,
100.37,-57.42,,242.2696902,73.54092822,15709,,,,,,
99.54,-57.57,,242.3123635,70.17145394,15765,,,,,,
98.66,-57.81,,243.5975528,71.62375689,15818,,,,,,
97.83,-58.3,,246.7985725,73.94098679,15873,,,,,,
97.01,-58.65,,246.4896004,73.8883128,15921,,,,,,
96.37,-58.63,,246.8602537,72.42975838,15966,,,,,,
95.6,-58.7,,244.4296761,73.23711526,16011,,,,,,
94.99,-58.76,,245.4259894,69.84816753,16048,,,,,,
94.42,-58.82,,244.2642529,68.63656041,16090,,,,,,
93.8,-58.84,,241.9800708,70.27743971,16128,,,,,,
93.26,-58.71,,245.2752083,66.31171673,16164,,,,,,
92.8,-58.87,,241.9033927,69.37041688,16198,,,,,,
92.18,-59.03,,240.4691396,70.83071625,16233,,,,,,
91.71,-59,,240.5905352,65.88047311,16268,,,,,,
91.22,-58.72,,243.5084932,67.54147832,16298,,,,,,
90.71,-58.86,,244.5375896,66.96966611,16334,,,,,,
90.24,-58.96,,245.6940431,62.62423312,16369,,,,,,
