"TOA5","CR6PerlanScience","CR6","3222","CR6.Std.03.41","CPU:perlan.CR6","39859","Table1"
"TIMESTAMP","RECORD","AirTC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2018-09-02 12:02:57",526,6.096,64.17
"2018-09-02 12:02:58",527,6.017,64.12
"2018-09-02 12:02:59",528,6.12,64.2
"2018-09-02 12:03:00",529,6.015,64.11
"2018-09-02 12:03:01",530,6.042,64.21
"2018-09-02 12:03:02",531,6.188,64.29
"2018-09-02 12:03:03",532,6.027,64.12
"2018-09-02 12:03:04",533,6.116,64.18
"2018-09-02 12:03:05",534,6.024,64.12
"2018-09-02 12:03:06",535,6.114,64.19
"2018-09-02 12:03:07",536,6.02,64.12
"2018-09-02 12:03:08",537,6.087,64.24
"2018-09-02 12:03:09",538,6.189,64.14
"2018-09-02 12:03:10",539,6.025,64.1
"2018-09-02 12:03:11",540,6.096,64.16
"2018-09-02 12:03:12",541,6.028,64.12
"2018-09-02 12:03:13",542,6.117,64.19
"2018-09-02 12:03:14",543,6.026,64.12
"2018-09-02 12:03:15",544,6.095,64.21
"2018-09-02 12:03:16",545,6.199,64.28
"2018-09-02 12:03:17",546,6.019,64.11
"2018-09-02 12:03:18",547,6.118,64.18
"2018-09-02 12:03:19",548,6.021,64.12
"2018-09-02 12:03:20",549,6.112,64.18
"2018-09-02 12:03:21",550,6.027,64.13
"2018-09-02 12:03:22",551,6.018,64.1
"2018-09-02 12:03:23",552,6.112,64.17
"2018-09-02 12:03:24",553,6.017,64.12
"2018-09-02 12:03:25",554,6.125,64.19
"2018-09-02 12:03:26",555,6.02,64.12
"2018-09-02 12:03:27",556,6.053,64.18
"2018-09-02 12:03:28",557,6.02,64.12
"2018-09-02 12:03:29",558,6.018,64.09
"2018-09-02 12:03:30",559,6.106,64.17
"2018-09-02 12:03:31",560,6.016,64.11
"2018-09-02 12:03:32",561,6.132,64.19
"2018-09-02 12:03:33",562,6.017,64.15
"2018-09-02 12:03:34",563,6.121,64.23
"2018-09-02 12:03:35",564,6.189,64.34
"2018-09-02 12:03:36",565,6.022,64.14
"2018-09-02 12:03:37",566,6.099,64.2
"2018-09-02 12:03:38",567,6.017,64.15
"2018-09-02 12:03:39",568,6.122,64.22
"2018-09-02 12:03:40",569,6.015,64.15
"2018-09-02 12:03:41",570,6.028,64.12
"2018-09-02 12:03:42",571,6.098,64.19
"2018-09-02 12:03:43",572,6.027,64.15
